TARGET,AMOUNT GRANTED,LOAN OUTSTANDING,CYCLE,AGE,GENDER,DEPENDANTS,HOME YEARS,BUS YEARS,CASHFLOW,COLLATERAL,CF TO LOAN,MOP_PDC,MOP_WALK-IN,MARITAL STATUS,COLL TO LOAN
1.0,300000.0,179087.18,8.0,36.0,1,4.0,13.0,13.0,456038.92,300000.0,1.52,1,0,1,1.0
1.0,50000.0,50000.0,4.0,46.0,1,2.0,22.0,8.0,56919.17,90000.0,1.14,1,0,0,1.8
1.0,200000.0,63154.75,7.0,28.0,0,2.0,22.0,30.0,340975.3,270000.0,1.7,1,0,0,1.35
1.0,70000.0,53280.49,1.0,37.0,1,3.0,15.0,4.0,144279.35,0.0,2.06,1,0,1,0.0
0.0,55765.96,33686.78,4.0,27.0,0,2.0,27.0,27.0,166891.78,150000.0,2.99,0,1,0,2.6898129253042535
1.0,70000.0,57024.21,3.0,52.0,0,4.0,30.0,19.0,130626.17,35000.0,1.87,0,1,0,0.5
1.0,100000.0,94176.43,3.0,43.0,1,4.0,4.0,15.0,169474.07,160000.0,1.69,0,1,1,1.6
1.0,200000.0,200000.0,4.0,37.0,1,2.0,36.0,11.0,661940.18,265000.0,3.31,1,0,1,1.325
1.0,200000.0,64157.84,4.0,42.0,0,2.0,13.0,12.0,329297.99,275000.0,1.65,1,0,1,1.375
1.0,100000.0,100000.0,3.0,50.0,1,3.0,22.0,22.0,213110.09,100000.0,2.13,1,0,1,1.0
1.0,300000.0,231466.08,6.0,39.0,0,3.0,20.0,7.0,640842.72,440000.0,2.14,1,0,0,1.4666666666666666
1.0,160000.0,71104.33,6.0,47.0,0,2.0,26.0,20.0,211260.49,150000.0,1.32,1,0,0,0.9375
1.0,100000.0,59695.71,2.0,42.0,0,3.0,6.0,2.0,180395.17,150000.0,1.8,1,0,0,1.5
1.0,300000.0,242913.45,4.0,60.0,0,2.0,20.0,20.0,467470.33,480000.0,1.56,1,0,1,1.6
1.0,100000.0,95429.37,6.0,31.0,0,3.0,8.0,4.0,170582.06,105200.0,1.71,0,1,1,1.052
1.0,100000.0,58090.35,3.0,58.0,1,2.0,30.0,4.0,189815.54,141600.0,1.9,0,1,0,1.416
1.0,200000.0,97299.48,10.0,33.0,1,1.0,8.0,11.0,466261.12,250000.0,2.33,1,0,1,1.25
1.0,88487.14,62700.18,6.0,58.0,0,1.0,6.0,12.0,627657.24,150000.0,7.09,0,1,1,1.6951615794114263
0.0,250000.0,89753.86,3.0,48.0,1,4.0,8.0,9.0,601046.06,300000.0,2.4,1,0,1,1.2
1.0,170000.0,46257.68,4.0,42.0,1,3.0,10.0,10.0,266182.7,300000.0,1.57,0,1,1,1.7647058823529411
1.0,100000.0,81463.16,1.0,45.0,0,2.0,11.0,19.0,115671.82,140000.0,1.16,0,1,1,1.4
0.0,70000.0,29125.85,3.0,32.0,0,2.0,3.0,11.0,112279.64,70325.0,1.6,0,1,1,1.0046428571428572
0.0,100000.0,60161.72,1.0,40.0,1,5.0,15.0,15.0,154257.41,93300.0,1.54,0,1,1,0.933
1.0,60000.0,60000.0,2.0,57.0,1,0.0,22.0,17.0,83287.88,99000.0,1.39,0,1,1,1.65
1.0,250000.0,212117.67,10.0,34.0,0,2.0,33.0,10.0,458536.41,300000.0,1.83,1,0,0,1.2
1.0,300000.0,133320.55,5.0,55.0,1,2.0,8.0,8.0,480472.3,350000.0,1.6,1,0,0,1.1666666666666667
1.0,150000.0,114572.56,4.0,41.0,0,5.0,40.0,16.0,270176.92,212000.0,1.8,0,1,1,1.4133333333333333
1.0,300000.0,300000.0,13.0,54.0,0,4.0,33.0,33.0,1119643.51,140000.0,3.73,1,0,0,0.4666666666666667
1.0,250000.0,121624.27,5.0,33.0,0,4.0,6.0,11.0,427197.77,250000.0,1.71,1,0,1,1.0
1.0,60000.0,40743.09,4.0,38.0,0,2.0,10.0,3.0,100982.72,50000.0,1.68,1,0,1,0.8333333333333334
1.0,150000.0,66660.29,3.0,47.0,1,3.0,6.0,5.0,274078.69,187700.0,1.83,1,0,1,1.2513333333333334
0.0,100000.0,59349.6,1.0,40.0,0,2.0,22.0,6.0,228895.84,50000.0,2.29,1,0,1,0.5
0.0,100000.0,39029.05,2.0,32.0,0,2.0,31.0,3.0,178450.7,88000.0,1.78,1,0,0,0.88
1.0,150000.0,114572.56,3.0,52.0,0,4.0,2.0,25.0,255051.74,300000.0,1.7,0,1,0,2.0
1.0,300000.0,203715.49,7.0,47.0,0,2.0,14.0,10.0,929945.73,300000.0,3.1,1,0,1,1.0
1.0,100000.0,100000.0,1.0,34.0,1,2.0,11.0,11.0,194279.17,260000.0,1.94,0,1,1,2.6
1.0,200000.0,105860.57,3.0,38.0,0,4.0,5.0,10.0,274948.95,220000.0,1.37,1,0,1,1.1
1.0,200000.0,128487.04,4.0,59.0,0,1.0,17.0,15.0,545736.79,20000.0,2.73,1,0,1,0.1
1.0,100000.0,76381.68,1.0,43.0,0,2.0,23.0,6.0,457341.68,70325.0,4.57,1,0,0,0.70325
1.0,300000.0,300000.0,7.0,37.0,1,2.0,8.0,8.0,379329.02,355000.0,1.26,1,0,0,1.1833333333333333
1.0,160000.0,104171.12,2.0,34.0,1,2.0,9.0,9.0,1275967.66,150000.0,7.97,1,0,1,0.9375
1.0,60000.0,27368.1,8.0,43.0,0,1.0,33.0,26.0,125716.8,100000.0,2.1,1,0,0,1.6666666666666667
1.0,50000.0,46043.18,2.0,47.0,1,1.0,3.0,4.0,100726.98,70325.0,2.01,1,0,1,1.4065
1.0,50000.0,50000.0,6.0,44.0,0,4.0,22.0,12.0,95927.46,50000.0,1.92,1,0,1,1.0
